Year_of_Release,Platform,Genre,Global_Sales
-01-0106-01-01,Wii,Sports,82.53
1985-01-01,NES,Platform,40.24
-01-0108-01-01,Wii,Racing,35.52
-01-0109-01-01,Wii,Sports,32.77
1996-01-01,GB,Role-Playing,31.37
1989-01-01,GB,Puzzle,30.26
-01-0106-01-01,DS,Platform,29.8
-01-0106-01-01,Wii,Misc,28.92
-01-0109-01-01,Wii,Platform,28.32
1984-01-01,NES,Shooter,28.31
-01-0105-01-01,DS,Simulation,24.67
-01-0105-01-01,DS,Racing,23.21
1999-01-01,GB,Role-Playing,23.1
-01-0107-01-01,Wii,Sports,22.7
-01-01-01-01-01-01,X360,Misc,21.81
-01-0109-01-01,Wii,Sports,21.79
-01-0113-01-01,PS3,Action,21.04
-01-0104-01-01,PS2,Action,20.81
19-01-01-01-01,SNES,Platform,20.61
-01-0105-01-01,DS,Misc,20.15
-01-0106-01-01,DS,Role-Playing,18.25
1989-01-01,GB,Platform,18.14
1988-01-01,NES,Platform,17.28
-01-0113-01-01,X360,Action,16.27
-01-0102-01-01,PS2,Action,16.15
-01-0102-01-01,GBA,Role-Playing,15.85
-01-0105-01-01,DS,Puzzle,15.29
-01-01-01-01-01-01,DS,Role-Playing,15.14
-01-0101-01-01,PS2,Racing,14.98
-01-0111-01-01,X360,Shooter,14.73
1998-01-01,GB,Role-Playing,14.64
-01-0115-01-01,PS4,Shooter,14.63
-01-01-01-01-01-01,X360,Shooter,14.61
-01-0113-01-01,3DS,Role-Playing,14.6
-01-0112-01-01,PS3,Shooter,13.79
-01-0112-01-01,X360,Shooter,13.67
-01-0109-01-01,X360,Shooter,13.47
-01-0111-01-01,PS3,Shooter,13.32
-01-0101-01-01,PS2,Action,13.1
-01-0108-01-01,Wii,Fighting,12.84
-01-0111-01-01,3DS,Racing,12.66
-01-01-01-01-01-01,PS3,Shooter,12.63
-01-0114-01-01,PS4,Action,12.61
-01-0105-01-01,DS,Simulation,12.13
-01-0107-01-01,X360,Shooter,12.12
1996-01-01,N64,Platform,11.89
-01-0109-01-01,DS,Action,11.77
-01-0114-01-01,3DS,Role-Playing,11.68
-01-0104-01-01,PS2,Racing,11.66
-01-0107-01-01,Wii,Platform,11.35
1992-01-01,GB,Adventure,11.18
-01-0108-01-01,X360,Action,11.01
1997-01-01,PS,Racing,10.95
-01-0111-01-01,3DS,Platform,10.81
-01-01-01-01-01-01,PS3,Racing,10.7
-01-0109-01-01,PS3,Shooter,10.6
1993-01-01,SNES,Platform,10.55
-01-0108-01-01,PS3,Action,10.5
-01-0104-01-01,GBA,Role-Playing,10.49
-01-0104-01-01,DS,Platform,10.3
-01-0113-01-01,X360,Shooter,10.25
-01-0111-01-01,Wii,Misc,10.12
-01-0112-01-01,3DS,Platform,9.9
1996-01-01,N64,Racing,9.87
-01-01-01-01-01-01,X360,Shooter,9.86
1997-01-01,PS,Role-Playing,9.72
-01-0112-01-01,X360,Shooter,9.71
1999-01-01,PS,Racing,9.49
-01-01-01-01-01-01,Wii,Misc,9.44
-01-0113-01-01,PS3,Shooter,9.36
-01-0107-01-01,X360,Shooter,9.31
1994-01-01,SNES,Platform,9.3
-01-0113-01-01,X360,Misc,9.18
-01-0112-01-01,3DS,Simulation,9.16
-01-0107-01-01,DS,Misc,8.91
-01-0111-01-01,X360,Role-Playing,8.79
1992-01-01,SNES,Racing,8.76
-01-0115-01-01,PS4,Sports,8.57
-01-0104-01-01,XB,Shooter,8.49
-01-01-01-01-01-01,Wii,Misc,8.38
-01-0107-01-01,Wii,Misc,8.27
-01-0112-01-01,PS3,Action,8.16
1997-01-01,N64,Shooter,8.09
-01-0112-01-01,DS,Role-Playing,8.07
-01-0101-01-01,PS2,Role-Playing,8.05
-01-0109-01-01,PC,Simulation,8.01
-01-0107-01-01,Wii,Sports,7.99
-01-0115-01-01,PS4,Shooter,7.98
1999-01-01,PS,Role-Playing,7.86
1982-01-01,2600,Puzzle,7.81
-01-0108-01-01,DS,Role-Playing,7.72
-01-0105-01-01,PSP,Action,7.69
-01-0114-01-01,PS4,Shooter,7.66
1998-01-01,N64,Action,7.6
-01-0116-01-01,PS4,Sports,7.59
1997-01-01,PS,Platform,7.58
-01-0114-01-01,3DS,Fighting,7.55
-01-01-01-01-01-01,Wii,Platform,7.51
1988-01-01,NES,Platform,7.46
-01-0115-01-01,XOne,Shooter,7.39
-01-0108-01-01,X360,Shooter,7.38
-01-0111-01-01,X360,Shooter,7.32
-01-0103-01-01,PS2,Racing,7.2
-01-0109-01-01,Wii,Misc,7.2
-01-0111-01-01,PS3,Shooter,7.17
-01-0115-01-01,PS4,Role-Playing,7.16
1998-01-01,PS,Fighting,7.16
-01-0106-01-01,Wii,Action,7.15
-01-0116-01-01,3DS,Role-Playing,7.14
1998-01-01,PS,Platform,7.13
-01-0114-01-01,WiiU,Racing,7.09
-01-0101-01-01,GC,Fighting,7.07
-01-0103-01-01,GC,Racing,6.95
-01-0104-01-01,PS2,Racing,6.9
-01-0102-01-01,PS2,Shooter,6.83
1996-01-01,PS,Platform,6.82
-01-0112-01-01,Wii,Misc,6.76
-01-0108-01-01,X360,Shooter,6.75
-01-0111-01-01,PS3,Action,6.74
-01-01-01-01-01-01,Wii,Sports,6.71
-01-0107-01-01,PS3,Shooter,6.68
-01-0109-01-01,PS3,Action,6.66
-01-0111-01-01,PS3,Sports,6.65
-01-0105-01-01,DS,Misc,6.62
1986-01-01,NES,Action,6.51
-01-01-01-01-01-01,PS3,Action,6.49
-01-0113-01-01,PS3,Sports,6.47
-01-0112-01-01,PS3,Action,6.45
-01-01-01-01-01-01,Wii,Platform,6.44
-01-0101-01-01,XB,Shooter,6.43
-01-0111-01-01,PS3,Role-Playing,6.41
-01-0104-01-01,GBA,Role-Playing,6.41
-01-0102-01-01,PS2,Role-Playing,6.4
-01-01-01-01-01-01,GB,Role-Playing,6.39
-01-0109-01-01,X360,Shooter,6.34
-01-01-01-01-01-01,X360,Action,6.32
-01-0102-01-01,GC,Platform,6.31
1992-01-01,SNES,Fighting,6.3
-01-0104-01-01,PC,Role-Playing,6.29
1999-01-01,PS,Action,6.27
-01-0111-01-01,X360,Shooter,6.21
-01-01-01-01-01-01,X360,Sports,6.19
-01-0106-01-01,X360,Shooter,6.09
-01-0114-01-01,PS4,Sports,6.08
-01-0101-01-01,PS2,Action,6.05
1992-01-01,GEN,Platform,6.03
1998-01-01,PS,Action,6.03
-01-0108-01-01,PS3,Action,5.99
-01-0106-01-01,PS2,Role-Playing,5.95
-01-0113-01-01,PS3,Action,5.87
-01-0108-01-01,PS3,Platform,5.82
1998-01-01,PS,Action,5.82
-01-0109-01-01,DS,Role-Playing,5.78
1996-01-01,PS,Fighting,5.74
-01-0114-01-01,PS4,Shooter,5.64
-01-0107-01-01,Wii,Action,5.64
-01-0106-01-01,DS,Simulation,5.63
1988-01-01,NES,Puzzle,5.58
1999-01-01,N64,Fighting,5.55
-01-0109-01-01,PS3,Action,5.55
-01-0107-01-01,X360,Adventure,5.54
-01-0109-01-01,X360,Racing,5.49
-01-0101-01-01,GBA,Platform,5.49
-01-0108-01-01,PSP,Role-Playing,5.48
-01-0111-01-01,PS3,Action,5.48
-01-0114-01-01,XOne,Action,5.48
-01-0101-01-01,GBA,Racing,5.47
-01-0101-01-01,GBA,Platform,5.46
1999-01-01,N64,Strategy,5.45
-01-0101-01-01,PS2,Platform,5.42
-01-0108-01-01,PS3,Shooter,5.39
-01-0116-01-01,PS4,Shooter,5.38
1989-01-01,GB,Puzzle,5.34
-01-0109-01-01,PS3,Role-Playing,5.33
1999-01-01,GB,Misc,5.31
-01-01-01-01-01-01,PS,Role-Playing,5.3
-01-0112-01-01,X360,Action,5.29
-01-0103-01-01,PS2,Role-Playing,5.29
1999-01-01,N64,Platform,5.27
-01-0114-01-01,XOne,Shooter,5.27
-01-0114-01-01,PS3,Misc,5.26
-01-0109-01-01,X360,Action,5.26
1997-01-01,PS,Action,5.24
nan,PS2,Sports,5.23
-01-0113-01-01,3DS,Simulation,5.23
-01-0112-01-01,WiiU,Platform,5.22
-01-0104-01-01,PS2,Role-Playing,5.21
-01-0103-01-01,GBA,Platform,5.2
-01-0107-01-01,DS,Puzzle,5.19
1994-01-01,GB,Platform,5.19
-01-0112-01-01,X360,Action,5.16
1995-01-01,SNES,Platform,5.15
-01-0112-01-01,PC,Role-Playing,5.14
-01-0103-01-01,PS2,Shooter,5.13
1992-01-01,GB,Platform,5.13
1996-01-01,PC,Simulation,5.12
-01-0106-01-01,PS2,Misc,5.12
-01-01-01-01-01-01,X360,Role-Playing,5.1
-01-0108-01-01,DS,Sports,5.09
-01-0109-01-01,PS3,Action,5.09
-01-0107-01-01,DS,Action,5.08
1999-01-01,GB,Platform,5.07
-01-01-01-01-01-01,PS3,Sports,5.07
1996-01-01,PS,Action,5.05
-01-0106-01-01,PSP,Action,5.03
1999-01-01,PS,Sports,5.02
1999-01-01,PS,Strategy,5.01
1998-01-01,PS,Platform,5.0
-01-0107-01-01,PS2,Misc,4.98
-01-0107-01-01,Wii,Shooter,4.98
-01-0107-01-01,DS,Role-Playing,4.93
-01-0108-01-01,X360,Role-Playing,4.93
-01-0107-01-01,PS3,Action,4.92
-01-0105-01-01,PS2,Sports,4.91
1997-01-01,N64,Racing,4.88
-01-01-01-01-01-01,PSP,Role-Playing,4.87
-01-0114-01-01,WiiU,Fighting,4.87
19-01-01-01-01,NES,Puzzle,4.85
-01-01-01-01-01-01,PC,Strategy,4.84
-01-0107-01-01,PS3,Adventure,4.82
-01-01-01-01-01-01,PS3,Action,4.8
1999-01-01,PS,Racing,4.79
-01-0107-01-01,DS,Action,4.76
-01-01-01-01-01-01,PS,Action,4.73
-01-0111-01-01,X360,Action,4.73
-01-0114-01-01,PS4,Action,4.71
-01-0103-01-01,PS2,Racing,4.7
-01-01-01-01-01-01,PS,Sports,4.68
-01-0102-01-01,PS2,Action,4.67
1996-01-01,PS,Action,4.63
-01-0108-01-01,Wii,Simulation,4.62
-01-0115-01-01,PS4,Action,4.62
1991-01-01,SNES,Action,4.61
-01-0102-01-01,GC,Action,4.6
-01-0107-01-01,Wii,Misc,4.6
-01-0113-01-01,3DS,Action,4.59
-01-0111-01-01,X360,Racing,4.57
-01-0109-01-01,Wii,Sports,4.53
-01-0104-01-01,PS2,Sports,4.53
-01-0107-01-01,X360,Misc,4.53
1981-01-01,2600,Platform,4.5
-01-0106-01-01,PS2,Sports,4.49
-01-0115-01-01,XOne,Shooter,4.48
-01-0102-01-01,PS2,Action,4.48
-01-01-01-01-01-01,PS,Role-Playing,4.47
-01-0116-01-01,PS4,Shooter,4.46
-01-0105-01-01,PS2,Action,4.45
-01-0115-01-01,WiiU,Shooter,4.43
-01-0112-01-01,WiiU,Misc,4.42
-01-0101-01-01,PS2,Sports,4.41
-01-0106-01-01,PS2,Sports,4.39
-01-0106-01-01,X360,Role-Playing,4.38
1987-01-01,NES,Adventure,4.38
-01-0105-01-01,PS2,Racing,4.37
-01-01-01-01-01-01,Wii,Misc,4.36
-01-0114-01-01,PS3,Shooter,4.36
-01-0106-01-01,PS3,Shooter,4.34
1991-01-01,GEN,Platform,4.34
-01-0105-01-01,PS2,Role-Playing,4.33
-01-0111-01-01,3DS,Action,4.33
-01-0113-01-01,WiiU,Platform,4.32
-01-0114-01-01,PS4,Misc,4.32
19-01-01-01-01,2600,Shooter,4.31
-01-0114-01-01,X360,Shooter,4.29
-01-0114-01-01,PS3,Sports,4.28
-01-0108-01-01,X360,Role-Playing,4.27
-01-0101-01-01,GBA,Misc,4.24
-01-0109-01-01,PS3,Action,4.23
-01-0104-01-01,PS2,Action,4.23
-01-0111-01-01,PS3,Action,4.22
-01-0115-01-01,XOne,Role-Playing,4.22
-01-0113-01-01,X360,Sports,4.22
-01-0106-01-01,PSP,Platform,4.21
1995-01-01,PC,Strategy,4.21
-01-0105-01-01,PS2,Sports,4.21
-01-0103-01-01,PS2,Misc,4.2
-01-0107-01-01,PS3,Racing,4.19
-01-0111-01-01,X360,Action,4.19
-01-0111-01-01,X360,Sports,4.18
1989-01-01,NES,Action,4.17
-01-0109-01-01,PS3,Fighting,4.16
1984-01-01,NES,Racing,4.16
1997-01-01,PS,Action,4.16
-01-0102-01-01,PS2,Sports,4.14
1997-01-01,PC,Shooter,4.12
1995-01-01,SNES,Platform,4.12
-01-0106-01-01,PS2,Sports,4.11
1992-01-01,SNES,Fighting,4.1
-01-0107-01-01,PC,Role-Playing,4.09
-01-0116-01-01,PS4,Shooter,4.08
-01-0107-01-01,PS2,Action,4.07
-01-0105-01-01,PS2,Sports,4.06
-01-01-01-01-01-01,X360,Role-Playing,4.05
-01-0107-01-01,X360,Racing,4.05
-01-0107-01-01,Wii,Misc,4.05
-01-0114-01-01,PS4,Action,4.05
1996-01-01,PS,Misc,4.05
-01-01-01-01-01-01,PS2,Fighting,4.05
-01-0114-01-01,PS4,Shooter,4.04
1997-01-01,N64,Shooter,4.03
1984-01-01,NES,Sports,4.01
-01-0105-01-01,PS2,Misc,3.98
-01-0109-01-01,X360,Shooter,3.97
-01-0115-01-01,PS4,Role-Playing,3.97
-01-0114-01-01,PS4,Action,3.96
-01-0115-01-01,PS4,Action,3.95
-01-0111-01-01,Wii,Action,3.95
-01-0108-01-01,PS3,Role-Playing,3.94
-01-0107-01-01,DS,Puzzle,3.94
1994-01-01,GB,Platform,3.91
-01-0109-01-01,Wii,Sports,3.9
-01-0103-01-01,PS2,Sports,3.9
-01-0114-01-01,3DS,Role-Playing,3.89
-01-0111-01-01,PC,Role-Playing,3.88
-01-0115-01-01,PS4,Sports,3.88
-01-0105-01-01,PS2,Fighting,3.87
1988-01-01,NES,Role-Playing,3.87
-01-0106-01-01,PS3,Racing,3.87
-01-0111-01-01,3DS,Simulation,3.85
-01-0104-01-01,PS2,Sports,3.85
-01-01-01-01-01-01,PS3,Sports,3.84
1995-01-01,PS,Misc,3.84
1992-01-01,GB,Action,3.83
-01-0113-01-01,PS4,Shooter,3.83
-01-0107-01-01,DS,Misc,3.83
-01-0116-01-01,PS4,Shooter,3.8
-01-0107-01-01,Wii,Misc,3.79
1996-01-01,PS,Action,3.77
-01-0109-01-01,DS,Role-Playing,3.77
-01-0108-01-01,X360,Action,3.76
-01-0102-01-01,PC,Simulation,3.76
-01-0107-01-01,PSP,Platform,3.74
-01-0101-01-01,PS,Action,3.73
-01-0111-01-01,Wii,Sports,3.72
1999-01-01,PS,Action,3.72
-01-0107-01-01,Wii,Platform,3.71
-01-01-01-01-01-01,PS,Platform,3.71
-01-0113-01-01,PS3,Action,3.71
-01-0104-01-01,PS2,Sports,3.7
1998-01-01,GB,Strategy,3.7
-01-0109-01-01,DS,Misc,3.67
-01-0102-01-01,PS2,Sports,3.67
-01-0115-01-01,XOne,Shooter,3.66
-01-0107-01-01,DS,Simulation,3.66
-01-0105-01-01,PSP,Racing,3.65
1998-01-01,N64,Platform,3.65
-01-0102-01-01,PS2,Shooter,3.65
-01-0101-01-01,PS2,Platform,3.64
1999-01-01,N64,Simulation,3.63
-01-0107-01-01,PS2,Sports,3.63
-01-0105-01-01,PS2,Action,3.62
-01-0108-01-01,Wii,Misc,3.62
-01-0109-01-01,PS3,Sports,3.62
-01-0104-01-01,PS2,Shooter,3.61
1994-01-01,PC,Shooter,3.61
-01-0101-01-01,PS2,Racing,3.61
-01-0101-01-01,GC,Action,3.6
-01-0113-01-01,PS4,Shooter,3.59
-01-0105-01-01,PS2,Shooter,3.59
-01-0113-01-01,Wii,Misc,3.59
-01-0107-01-01,DS,Simulation,3.58
-01-01-01-01-01-01,PS,Fighting,3.58
1997-01-01,PS,Platform,3.56
-01-0106-01-01,PS2,Action,3.54
-01-0102-01-01,PS2,Action,3.54
1997-01-01,PS,Action,3.54
-01-0101-01-01,PS2,Shooter,3.53
-01-0105-01-01,PS2,Action,3.53
-01-01-01-01-01-01,PS,Action,3.52
-01-01-01-01-01-01,X360,Sports,3.52
1999-01-01,PS,Platform,3.52
-01-0108-01-01,X360,Shooter,3.51
1996-01-01,SNES,Platform,3.51
-01-0114-01-01,XOne,Action,3.5
1985-01-01,NES,Action,3.5
-01-0109-01-01,X360,Action,3.5
-01-01-01-01-01-01,X360,Action,3.49
nan,PS2,Sports,3.49
-01-0113-01-01,PS3,Shooter,3.49
-01-0109-01-01,X360,Action,3.48
-01-0113-01-01,X360,Shooter,3.48
-01-01-01-01-01-01,X360,Shooter,3.47
-01-0109-01-01,DS,Sports,3.46
-01-0108-01-01,DS,Misc,3.46
-01-0106-01-01,DS,Misc,3.45
-01-0113-01-01,3DS,Role-Playing,3.44
-01-0109-01-01,X360,Shooter,3.44
-01-0102-01-01,PS2,Fighting,3.44
1994-01-01,SNES,Role-Playing,3.42
1998-01-01,PS,Action,3.42
-01-0115-01-01,PS4,Action,3.41
-01-0104-01-01,PS2,Action,3.41
19-01-01-01-01,GB,Racing,3.41
-01-0102-01-01,PS2,Sports,3.4
-01-0111-01-01,PS3,Platform,3.39
-01-01-01-01-01-01,PS,Misc,3.39
-01-0115-01-01,PS4,Action,3.39
-01-0108-01-01,X360,Action,3.38
-01-0114-01-01,XOne,Shooter,3.37
1998-01-01,PS,Fighting,3.36
-01-01-01-01-01-01,N64,Action,3.36
-01-0112-01-01,PS3,Shooter,3.35
1998-01-01,PS,Adventure,3.34
-01-0106-01-01,DS,Misc,3.33
-01-0102-01-01,PS2,Shooter,3.33
-01-0102-01-01,PS2,Platform,3.33
-01-0115-01-01,3DS,Action,3.32
-01-0105-01-01,PS2,Action,3.32
-01-0109-01-01,DS,Action,3.31
-01-0101-01-01,PS2,Shooter,3.31
-01-0113-01-01,X360,Action,3.3
-01-0103-01-01,PS2,Action,3.28
-01-0114-01-01,3DS,Role-Playing,3.28
-01-0115-01-01,XOne,Shooter,3.28
-01-0103-01-01,PS2,Action,3.27
-01-0108-01-01,DS,Puzzle,3.26
-01-0109-01-01,PSP,Racing,3.25
-01-0115-01-01,XOne,Sports,3.25
-01-0108-01-01,Wii,Misc,3.25
1995-01-01,PS,Fighting,3.24
-01-0115-01-01,PS4,Sports,3.24
-01-0113-01-01,PS3,Racing,3.23
-01-0114-01-01,XOne,Shooter,3.23
1999-01-01,PS,Shooter,3.21
-01-0115-01-01,WiiU,Platform,3.21
-01-01-01-01-01-01,PS,Fighting,3.2
1983-01-01,NES,Sports,3.2
1995-01-01,SNES,Fighting,3.2
1995-01-01,SNES,Role-Playing,3.19
-01-0108-01-01,PSP,Action,3.18
-01-0103-01-01,PS2,Action,3.18
-01-0107-01-01,PSP,Role-Playing,3.18
-01-01-01-01-01-01,X360,Misc,3.17
-01-0111-01-01,PS3,Adventure,3.17
-01-0101-01-01,PS2,Simulation,3.17
-01-0101-01-01,GC,Simulation,3.15
-01-0107-01-01,PS2,Sports,3.14
-01-0108-01-01,DS,Adventure,3.14
-01-01-01-01-01-01,PS,Action,3.13
-01-0112-01-01,Wii,Misc,3.13
1998-01-01,PS,Racing,3.12
1999-01-01,N64,Racing,3.12
-01-0105-01-01,DS,Platform,3.12
19-01-01-01-01,NES,Role-Playing,3.12
-01-0108-01-01,DS,Misc,3.11
-01-01-01-01-01-01,PS3,Role-Playing,3.11
-01-0106-01-01,DS,Misc,3.11
-01-0107-01-01,PS3,Role-Playing,3.1
-01-0113-01-01,3DS,Action,3.1
-01-0112-01-01,PS3,Shooter,3.1
-01-01-01-01-01-01,X360,Role-Playing,3.1
-01-0102-01-01,PS2,Fighting,3.09
-01-0101-01-01,PS2,Sports,3.08
1986-01-01,NES,Sports,3.08
1994-01-01,GB,Platform,3.07
-01-0102-01-01,PC,Simulation,3.07
nan,Wii,Action,3.06
-01-0115-01-01,3DS,Simulation,3.05
-01-0114-01-01,PC,Simulation,3.05
-01-0112-01-01,X360,Shooter,3.05
-01-0108-01-01,DS,Action,3.05
-01-0108-01-01,X360,Action,3.04
-01-0112-01-01,X360,Role-Playing,3.04
-01-01-01-01-01-01,PS3,Adventure,3.03
1995-01-01,PS,Platform,3.03
-01-0108-01-01,X360,Action,3.03
-01-0102-01-01,XB,Action,3.02
1987-01-01,NES,Fighting,3.02
-01-0102-01-01,PS2,Sports,3.02
-01-0113-01-01,PS4,Sports,3.01
-01-0109-01-01,PS3,Shooter,3.01
-01-0112-01-01,X360,Shooter,3.0
-01-01-01-01-01-01,Wii,Platform,3.0
-01-0112-01-01,X360,Sports,3.0
-01-0107-01-01,PS2,Fighting,3.0
nan,PS2,Fighting,3.0
1993-01-01,SNES,Shooter,2.99
-01-01-01-01-01-01,PC,Misc,2.99
-01-0102-01-01,PS2,Sports,2.99
-01-0101-01-01,PS2,Action,2.99
-01-0111-01-01,PC,Role-Playing,2.96
-01-0114-01-01,PS4,Action,2.96
-01-0103-01-01,PS2,Platform,2.96
-01-0102-01-01,PS2,Action,2.96
-01-0114-01-01,XOne,Shooter,2.95
-01-01-01-01-01-01,PS3,Shooter,2.95
1996-01-01,N64,Racing,2.94
-01-0103-01-01,PS2,Shooter,2.94
-01-0105-01-01,PS2,Fighting,2.94
-01-0101-01-01,GBA,Puzzle,2.94
-01-0109-01-01,X360,Fighting,2.94
-01-0109-01-01,PS3,Action,2.93
-01-0108-01-01,DS,Platform,2.92
-01-0113-01-01,XOne,Shooter,2.92
-01-0114-01-01,X360,Sports,2.92
-01-0102-01-01,GBA,Platform,2.91
-01-0107-01-01,X360,Role-Playing,2.91
-01-0104-01-01,PS2,Misc,2.9
-01-0103-01-01,PS2,Sports,2.9
-01-0108-01-01,X360,Sports,2.89
-01-0101-01-01,PS2,Sports,2.89
-01-0107-01-01,Wii,Simulation,2.89
-01-0104-01-01,PS2,Shooter,2.89
-01-0106-01-01,Wii,Puzzle,2.89
1999-01-01,PS,Shooter,2.88
-01-0107-01-01,DS,Simulation,2.87
1998-01-01,PS,Racing,2.87
-01-0112-01-01,X360,Sports,2.86
-01-0102-01-01,XB,Role-Playing,2.86
-01-0113-01-01,PS4,Action,2.85
1996-01-01,PC,Strategy,2.85
19-01-01-01-01,SNES,Racing,2.85
1997-01-01,N64,Platform,2.85
-01-0111-01-01,PS3,Fighting,2.84
-01-0109-01-01,X360,Sports,2.83
-01-0102-01-01,PS2,Fighting,2.83
-01-0107-01-01,X360,Shooter,2.83
-01-0102-01-01,GC,Shooter,2.82
-01-01-01-01-01-01,PS3,Action,2.82
-01-0103-01-01,GBA,Action,2.82
-01-0111-01-01,Wii,Sports,2.81
1994-01-01,PC,Adventure,2.81
-01-01-01-01-01-01,PS3,Shooter,2.81
-01-0112-01-01,PS3,Racing,2.81
-01-0107-01-01,DS,Simulation,2.8
-01-0103-01-01,PS2,Fighting,2.8
1997-01-01,PS,Sports,2.79
1998-01-01,PS,Platform,2.79
-01-0101-01-01,PS2,Fighting,2.79
-01-0114-01-01,PS4,Action,2.79
1992-01-01,SNES,Role-Playing,2.79
1996-01-01,PS,Fighting,2.79
-01-0111-01-01,3DS,Role-Playing,2.79
-01-0101-01-01,PS2,Sports,2.79
-01-0103-01-01,PS2,Platform,2.78
-01-0103-01-01,PS2,Platform,2.78
-01-01-01-01-01-01,PS3,Racing,2.78
-01-0111-01-01,Wii,Action,2.78
-01-0111-01-01,PC,Shooter,2.78
-01-0115-01-01,PS4,Fighting,2.78
-01-0103-01-01,PS2,Simulation,2.77
-01-0111-01-01,PS3,Shooter,2.77
-01-0108-01-01,X360,Action,2.77
-01-0114-01-01,XOne,Misc,2.76
-01-0106-01-01,DS,Platform,2.76
-01-0111-01-01,X360,Action,2.76
19-01-01-01-01,2600,Shooter,2.76
1992-01-01,SNES,Misc,2.75
-01-0109-01-01,PS3,Fighting,2.75
-01-01-01-01-01-01,N64,Strategy,2.73
1986-01-01,NES,Action,2.73
-01-0107-01-01,Wii,Platform,2.73
-01-0115-01-01,PS3,Sports,2.71
-01-0102-01-01,GBA,Action,2.7
-01-0101-01-01,PS2,Action,2.7
1998-01-01,N64,Misc,2.7
-01-0111-01-01,X360,Adventure,2.7
-01-0106-01-01,X360,Shooter,2.7
-01-0111-01-01,X360,Sports,2.69
-01-0106-01-01,PS2,Action,2.69
-01-0113-01-01,PS4,Shooter,2.69
-01-01-01-01-01-01,X360,Sports,2.69
-01-0104-01-01,PS2,Racing,2.68
-01-0114-01-01,3DS,Role-Playing,2.68
1992-01-01,GEN,Fighting,2.67
-01-01-01-01-01-01,DS,Puzzle,2.67
-01-0109-01-01,DS,Puzzle,2.67
-01-0105-01-01,PS2,Shooter,2.67
1998-01-01,PS,Shooter,2.67
-01-0104-01-01,XB,Role-Playing,2.66
-01-0108-01-01,X360,Misc,2.66
-01-0116-01-01,XOne,Sports,2.65
-01-0106-01-01,DS,Action,2.65
-01-0103-01-01,PS2,Action,2.65
1986-01-01,NES,Platform,2.65
-01-0109-01-01,PS3,Racing,2.65
1996-01-01,N64,Action,2.65
-01-0106-01-01,PSP,Shooter,2.65
-01-0111-01-01,PS3,Role-Playing,2.63
-01-01-01-01-01-01,PS2,Racing,2.63
-01-01-01-01-01-01,X360,Sports,2.63
-01-0104-01-01,PS2,Sports,2.62
-01-0109-01-01,X360,Strategy,2.62
-01-0111-01-01,X360,Sports,2.62
-01-0106-01-01,PSP,Fighting,2.62
-01-0109-01-01,X360,Sports,2.62
-01-01-01-01-01-01,X360,Shooter,2.61
-01-0102-01-01,PS2,Action,2.61
19-01-01-01-01,GEN,Action,2.6
-01-0109-01-01,PS3,Action,2.6
-01-0104-01-01,PS2,Sports,2.59
-01-0107-01-01,Wii,Sports,2.58
-01-0108-01-01,PS3,Sports,2.58
-01-0108-01-01,DS,Simulation,2.58
-01-0106-01-01,PS2,Fighting,2.58
-01-0107-01-01,X360,Action,2.57
-01-0104-01-01,PS2,Platform,2.57
-01-0107-01-01,PS2,Sports,2.57
-01-0107-01-01,PSP,Role-Playing,2.57
-01-0107-01-01,PS3,Platform,2.56
-01-01-01-01-01-01,Wii,Platform,2.56
-01-0101-01-01,GC,Platform,2.56
1987-01-01,NES,Role-Playing,2.56
-01-0109-01-01,X360,Action,2.56
-01-0112-01-01,PS3,Sports,2.56
-01-0109-01-01,X360,Role-Playing,2.56
-01-0103-01-01,GC,Role-Playing,2.54
-01-0109-01-01,PSP,Platform,2.54
-01-0108-01-01,X360,Sports,2.53
nan,2600,Shooter,2.53
-01-0101-01-01,PS2,Racing,2.52
-01-01-01-01-01-01,DS,Misc,2.52
-01-0113-01-01,X360,Sports,2.52
-01-01-01-01-01-01,N64,Action,2.52
-01-0112-01-01,Wii,Action,2.52
1986-01-01,NES,Role-Playing,2.52
-01-0108-01-01,Wii,Sports,2.5
-01-0108-01-01,PS2,Sports,2.5
1999-01-01,N64,Misc,2.5
-01-0106-01-01,X360,Role-Playing,2.5
-01-0103-01-01,XB,Action,2.49
-01-0102-01-01,PS2,Fighting,2.49
-01-0107-01-01,Wii,Misc,2.48
-01-0115-01-01,PS4,Action,2.48
1998-01-01,PS,Action,2.48
-01-0102-01-01,GC,Misc,2.47
-01-0108-01-01,X360,Racing,2.47
nan,X360,Misc,2.47
-01-0112-01-01,PS3,Sports,2.47
-01-0111-01-01,PS3,Action,2.47
-01-0108-01-01,PS3,Shooter,2.46
-01-0114-01-01,PS4,Sports,2.45
1992-01-01,SNES,Role-Playing,2.45
1997-01-01,PS,Role-Playing,2.45
-01-0108-01-01,PS3,Racing,2.45
1996-01-01,PS,Racing,2.44
-01-0103-01-01,PS2,Simulation,2.43
1997-01-01,PC,Adventure,2.43
-01-01-01-01-01-01,Wii,Action,2.43
-01-0115-01-01,PS4,Racing,2.43
-01-0116-01-01,XOne,Shooter,2.42
-01-0115-01-01,XOne,Sports,2.42
1988-01-01,NES,Sports,2.42
1998-01-01,DC,Platform,2.42
-01-0108-01-01,X360,Shooter,2.42
